City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Avera,1,US,1554397567,35,33.19,-82.53,23.33,4.6
Karpogory,12,RU,1554397602,68,64.0,44.44,2.66,3.92
Geraldton,5,CA,1554393600,37,49.72,-86.95,-6.0,1.62
Port-Gentil,40,GA,1554393600,84,-0.72,8.78,30.0,4.1
Shush,12,RU,1554397603,66,55.6,89.45,-6.19,2.42
Laguna,40,MX,1554392700,22,27.52,-110.01,25.0,1.67
Vytegra,0,RU,1554397603,67,61.01,36.45,-0.69,4.27
Grand Forks,1,US,1554397280,69,47.91,-97.06,2.0,7.2
Bahia Honda,0,CU,1554397604,54,22.9,-83.16,30.16,3.22
Cockburn Town,100,TC,1554397526,100,21.46,-71.14,23.86,7.67
Barcelos,75,PT,1554397409,93,41.53,-8.62,10.0,8.2
Hami,8,CN,1554397604,29,42.84,93.51,12.16,3.42
Mahon,40,IE,1554395400,100,51.89,-8.4,7.0,5.1
Christchurch,92,NZ,1554397458,100,-43.53,172.64,9.44,4.6
Igarka,68,RU,1554397605,86,67.47,86.57,-6.49,2.87
Nelson Bay,40,AU,1554397234,100,-32.72,152.14,20.0,3.1
Sosnogorsk,20,RU,1554397605,79,63.59,53.93,0.41,3.12
Dergachi,0,RU,1554397606,78,51.24,48.77,-1.79,1.32
Nainpur,20,IN,1554397606,40,22.43,80.11,26.66,4.02
Fortuna,75,ES,1554397518,51,38.18,-1.13,17.22,7.7
Tuatapere,88,NZ,1554397607,100,-46.13,167.69,9.31,5.12
Ojinaga,1,US,1554397230,15,29.56,-104.41,25.0,2.1
Dalvik,0,SE,1554397505,47,57.79,14.13,13.33,4.1
Jobner,20,IN,1554395400,21,26.97,75.39,32.0,1.22
Almaznyy,0,RU,1554395400,76,48.03,40.04,5.0,3.0
Saint-Francois,0,FR,1554397314,46,46.42,3.91,10.0,2.1
Farsund,0,NO,1554397494,50,58.09,6.8,12.78,5.36
Male,36,UA,1554397608,57,50.74,33.7,4.06,2.52
Port Macquarie,90,AU,1554397505,93,-31.43,152.91,17.78,3.6
Glamoc,92,BA,1554397383,91,44.05,16.85,7.86,4.57
Tiksi,0,RU,1554397609,64,71.64,128.87,-9.49,2.97
Tocache,92,PE,1554397609,89,-8.19,-76.51,18.91,0.87
Marsh Harbour,24,BS,1554397520,100,26.54,-77.06,24.01,7.97
Neiafu,40,TO,1554397200,100,-18.65,-173.98,23.0,4.27
Dekar,76,BW,1554397610,44,-21.53,21.93,25.76,1.32
Sarvar,0,HU,1554397215,37,47.25,16.94,19.0,7.2
Kenai,1,US,1554397564,46,60.55,-151.26,0.56,5.1
Bhadasar,12,IN,1554397611,43,28.3,74.31,26.31,4.02
Taoudenni,80,ML,1554397611,30,22.68,-3.98,30.66,7.17
Gold Coast,90,AU,1554397593,72,-28.0,153.41,20.0,3.6
Emba,40,CY,1554397255,82,34.81,32.42,16.0,1.5
Namatanai,92,PG,1554397612,100,-3.66,152.44,26.01,3.02
Sorochinsk,0,RU,1554397612,86,52.43,53.15,0.06,1.62
Ryotsu,0,JP,1554397612,84,38.08,138.43,11.21,11.12
Bowen,90,AU,1554397547,94,-20.01,148.25,24.44,5.7
Porto-Vecchio,0,FR,1554395400,54,41.59,9.28,13.0,8.7
Namanga,44,KE,1554397613,66,-2.55,36.79,21.31,4.37
Garissa,48,KE,1554397613,84,-0.46,39.64,24.76,0.97
Jutai,92,BR,1554397613,100,-1.71,-47.89,23.26,2.12
Margherita,90,IN,1554395400,94,27.29,95.67,20.0,2.6
Grand Gaube,40,MU,1554397443,94,-20.01,57.66,25.56,0.5
Sioux Lookout,40,CA,1554393600,36,50.1,-91.92,-2.0,4.6
Cravo Norte,0,CO,1554397614,33,6.3,-70.2,36.66,6.77
Deputatskiy,0,RU,1554397615,52,69.3,139.9,-20.74,1.17
San Juan,0,AR,1554397414,50,-31.54,-68.53,22.46,4.12
Bawku,24,GH,1554397617,70,11.06,-0.24,27.86,1.62
Abu Samrah,8,SY,1554397617,78,35.3,37.18,13.26,4.07
Camacha,40,PT,1554395400,59,33.08,-16.33,18.0,7.2
Caravelas,32,BR,1554397617,98,-17.73,-39.27,28.01,5.52
Namibe,0,AO,1554397618,100,-15.19,12.15,26.21,6.07
Pontes e Lacerda,12,BR,1554397618,72,-15.23,-59.33,31.31,3.87
Palafrugell,20,ES,1554397570,57,41.92,3.16,12.78,6.2
Doha,75,QA,1554395400,73,25.29,51.53,25.0,5.1
Beaufort,75,MY,1554395400,83,5.36,115.76,28.0,1.5
Kloulklubed,75,PW,1554393000,88,7.04,134.26,26.0,2.6
Pichucalco,75,MX,1554396000,74,17.51,-93.12,28.0,1.22
Umm Kaddadah,0,SD,1554397619,9,13.6,26.69,26.51,4.47
Ambilobe,12,MG,1554397620,79,-13.19,49.05,25.21,1.22
